Dim (X): 1
0.041072 6.265272 4.681155 2.328672 
0.464212 1.956507 -0.122516 -0.189501 
0.692064 4.696562 3.271169 3.187169 
0.798191 4.647238 3.744409 7.712156 
0.461241 1.738053 0.132399 0.049191 
0.081681 2.510668 1.777749 4.320861 
0.680944 5.894822 3.853616 2.981564 
0.821605 5.866268 4.921756 6.450960 
0.943767 2.825779 1.551357 0.926791 
0.112083 0.394314 -0.075230 6.180565 
0.932342 1.909483 0.959260 1.118900 
0.729972 0.545850 0.274157 5.330565 
0.304648 1.854263 0.171270 1.173910 
0.537934 4.365160 0.989484 0.535014 
0.688649 4.914154 3.721313 3.560612 
0.381201 4.439354 -0.121046 0.067715 
0.746399 0.200298 0.103993 6.145976 
0.943234 3.091916 1.662835 0.992822 
0.872668 1.914636 1.501419 3.703015 
0.996242 5.576537 1.914882 0.326182 
0.229661 3.611921 1.024389 4.563793 
0.147618 1.909032 0.856158 7.370058 
0.387926 3.303460 0.095999 0.361139 
0.076153 3.364051 2.318973 3.720022 
0.512985 6.136589 0.619127 0.100595 
0.074773 3.701939 2.776510 4.206199 
0.908221 0.358045 -0.285254 1.868758 
0.503262 6.007964 0.841552 0.030264 
0.143987 1.800401 0.912232 7.366412 
0.568796 1.087888 -0.033832 0.594481 
0.096747 1.118835 0.743472 5.272157 
0.791037 3.645746 3.068189 7.422011 
0.315832 3.218180 0.296211 0.853296 
0.288021 0.267346 -0.123487 1.753124 
0.377968 4.410589 -0.289420 0.521493 
0.358241 5.983154 0.299725 0.777360 
0.652736 5.712158 3.366407 1.547932 
0.400141 2.047837 -0.247863 0.079934 
0.503922 6.208389 0.692385 0.312047 
0.928280 1.365837 0.868434 1.238288 
0.427469 0.010300 0.001453 0.247937 
0.418395 0.686824 -0.160534 0.282601 
0.500952 5.824976 0.800724 0.020195 
0.872888 2.084164 1.571764 3.620868 
0.931228 1.625037 1.047845 1.295582 
0.456993 1.405646 0.057901 0.462130 
0.648710 5.321360 2.829837 1.364602 
0.770907 1.580366 1.012705 7.263216 
0.349442 5.906538 0.254195 0.353922 
0.633811 3.462775 2.056773 1.027536 
0.168292 4.655621 2.099934 7.572798 
0.272204 0.262010 0.282136 2.298097 
0.219453 4.939296 1.539238 4.789372 
0.414279 0.966780 -0.140364 0.362729 
0.283266 0.105265 0.020964 1.563468 
0.451641 0.671129 0.406628 -0.006301 
0.747571 0.076120 0.217692 6.256783 
0.227999 4.026167 0.978733 4.457021 
0.066040 4.173404 3.525680 3.178156 
0.069694 4.066722 3.279061 3.735325 
0.240474 2.405381 0.536750 3.652253 
0.810918 5.469707 4.442955 6.617844 
0.931325 1.927521 0.789108 0.856531 
0.345900 5.760132 -0.003804 0.667987 
0.426210 -0.057315 -0.403970 0.229346 
0.491639 4.996118 0.490645 -0.040354 
0.871947 2.061080 1.639185 3.724003 
0.678174 5.689686 3.840647 2.835689 
0.496413 5.508174 1.034308 0.071901 
0.863095 3.420933 2.070135 4.078156 
0.481896 4.481904 0.436320 -0.071447 
0.049704 5.772754 4.478274 2.814681 
0.590189 0.329632 -0.005306 0.254252 
0.498086 5.573419 0.739473 0.110273 
0.938311 2.042670 1.217876 0.916438 
0.005337 3.903571 2.993452 1.042675 
0.963049 5.141435 2.721786 0.368299 
0.828098 5.910317 4.698663 6.216814 
0.754941 0.428740 0.116903 6.763615 
0.751777 0.413337 0.140358 6.251074 
0.179966 5.082097 2.625093 7.230859 
0.308116 2.439149 0.173773 1.357061 
0.936634 2.040333 1.424718 0.829904 
0.275600 -0.059301 0.068443 1.714520 
0.857118 3.940787 3.087418 4.536574 
0.490424 5.149844 0.763229 0.001482 
0.132405 0.589137 0.424255 6.935625 
0.608827 1.156906 0.753101 0.448084 
0.723660 1.009645 0.866368 5.369658 
0.580699 0.111671 0.113466 0.512281 
0.665092 6.051335 3.839721 2.278740 
0.865659 2.825955 2.157806 4.075496 
0.497635 5.814344 0.725371 0.238430 
0.290204 0.579075 -0.132722 1.490951 
0.998111 5.554545 1.637298 0.432791 
0.494685 5.326858 0.820117 -0.100204 
0.832212 6.075069 4.793074 6.232613 
0.738249 0.174173 0.069595 5.865698 
0.506686 6.006362 0.901855 -0.281508 
0.968957 5.479974 2.829425 0.396389 
0.055901 5.389133 4.306628 2.692568 
0.106366 0.217640 0.100053 5.729615 
