Parâmetros Gerais
Iterações: 	250
Cross-set: 	3
Amostra: 	1
Limite inferior: 1.000000e-04
 Limite superior 200

Parâmetros do MOPSO

 População:		15
 Inércia Inicial (w_0):  8.0000
 Inércia final (w_f): 	 0.0001
 Coef. Cognitivo (c_1):  1.9000
 Coef. Social (c_2): 	 2.1000
 Velocida Max (v_max): 	12.0000
Modificador: Nenhum

 Amostra 1 Y 1 - Fase 1
      C    Gama    Epsilon       Erro      SV Correlacao
      C    Gama    Epsilon       Erro      SV Correlacao
196.6091 0.01862051 0.03500000  0.0138  8.0000  0.0215
195.5677 0.02027546 0.03500000  0.0144  7.6667  0.0224

 Amostra 1 Y 2 - Fase 2
      C    Gama    Epsilon       Erro      SV Correlacao
193.5826 0.26471816 0.03500000  8.1440 10.0000  0.1251
157.6875 0.00010000 0.03500000 14.4287  7.3333  0.3424
 4.9027 0.00010000 0.03500000 14.5650  7.3333  0.3424
198.5173 0.00065859 0.03500000 13.6788  9.3333  0.3265
101.9306 0.38963595 0.03500000  7.8467  9.6667  0.1344
200.0000 0.00025409 0.03500000 14.1667  8.3333  0.3356
199.3136 0.03221977 0.03500000  7.5938  9.6667  0.2366
200.0000 0.00010000 0.03500000 14.3946  8.0000  0.3383
199.0961 0.01840310 0.03500000  6.9128 10.0000  0.2433
199.0961 0.01840310 0.03500000  6.9128 10.0000  0.2433
199.2287 0.02040774 0.03500000  7.1378 10.0000  0.2413
181.7384 0.19224925 0.03500000  7.5405 10.0000  0.1309
186.9430 0.14754892 0.03500000  7.7077 10.0000  0.1288
189.3289 0.02020164 0.03500000  7.0023 10.0000  0.2419
199.1001 0.01859693 0.03500000  6.9263 10.0000  0.2428
93.3459 0.00010000 0.03500000 14.4859  7.3333  0.3424

 Amostra 1 Y 3 - Fase 2
      C    Gama    Epsilon       Erro      SV Correlacao
117.4902 0.02497517 0.03500000  0.1441  9.0000  0.0205
19.4030 0.18486985 0.03500000  0.1590 10.0000  0.0188
124.0044 0.09820927 0.03500000  0.1802  7.6667  0.0250
10.3763 0.21151097 0.03500000  0.1852  9.0000  0.0185
119.8099 0.07266090 0.03500000  0.1517  8.0000  0.0212
19.0753 0.12419535 0.03500000  0.1570  9.3333  0.0198
